               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.046313,              0.1298,            0.021327,             0.84417,             0.78735,             0.77538,              0.5626,            0.050097,             0.21082,            0.027418,            0.005314,            0.005314,            0.005314
                 144,            0.047148,             0.13372,            0.021944,             0.85316,             0.78663,             0.77615,              0.5624,            0.049715,             0.21071,            0.027461,            0.005281,            0.005281,            0.005281
                 145,            0.045991,             0.13339,            0.022105,              0.8532,             0.78314,             0.77598,             0.56345,             0.04985,             0.21079,            0.027306,            0.005248,            0.005248,            0.005248
                 146,            0.047013,             0.13141,            0.022348,             0.85077,             0.78087,             0.77443,             0.56906,            0.049543,             0.20978,            0.027351,            0.005215,            0.005215,            0.005215
                 147,            0.046587,             0.13404,            0.022439,             0.85317,             0.77809,             0.77594,             0.56619,            0.049766,             0.21139,            0.027468,            0.005182,            0.005182,            0.005182
                 148,            0.046614,             0.12962,            0.022215,             0.84962,             0.78464,             0.77808,             0.56387,            0.049763,              0.2106,            0.027348,            0.005149,            0.005149,            0.005149
                 149,            0.046449,             0.13151,            0.021743,             0.85232,             0.78352,             0.77542,             0.57029,            0.049455,             0.21011,            0.027224,            0.005116,            0.005116,            0.005116
                 150,            0.046819,             0.13133,            0.021591,             0.85337,             0.78459,             0.77613,             0.56704,            0.049676,             0.21046,            0.027277,            0.005083,            0.005083,            0.005083
                 151,            0.046124,             0.13035,            0.021259,             0.85381,             0.78335,             0.77753,             0.57101,            0.049505,             0.20953,            0.027283,             0.00505,             0.00505,             0.00505
                 152,            0.046458,             0.12788,             0.02147,             0.85036,             0.78324,             0.77502,             0.57351,            0.049366,             0.20884,            0.027366,            0.005017,            0.005017,            0.005017
                 153,            0.046589,             0.12796,            0.021142,             0.85501,             0.78589,             0.77721,             0.57315,            0.049397,             0.21078,            0.027253,            0.004984,            0.004984,            0.004984
                 154,             0.04598,             0.12781,            0.021631,             0.85422,             0.78787,             0.77863,             0.57189,            0.049529,             0.21021,            0.027173,            0.004951,            0.004951,            0.004951
                 155,            0.046444,             0.12709,            0.022254,             0.84868,             0.78808,              0.7781,             0.56776,            0.049679,             0.20939,            0.027301,            0.004918,            0.004918,            0.004918
                 156,            0.045044,             0.12604,            0.021347,             0.85296,             0.78894,             0.78094,             0.57573,            0.049487,             0.21012,            0.027206,            0.004885,            0.004885,            0.004885
                 157,            0.046593,              0.1301,            0.022093,             0.84938,             0.78898,             0.77928,              0.5711,            0.049451,             0.21003,            0.027229,            0.004852,            0.004852,            0.004852
                 158,            0.045938,             0.12904,            0.021234,             0.85331,             0.78668,             0.77815,             0.56615,            0.049659,             0.21237,            0.027351,            0.004819,            0.004819,            0.004819
